frame,timestamp_ms,person_id,filter_enabled,cam_x,cam_y,cam_z,new_x,new_y,new_z
15,103155,1,1,-6.45,1.81,1021,37.12,-467.62,994.85
16,103288,1,1,-2.18,-6.72,1021,41.85,-468.72,1003.11
17,103425,1,1,6.58,1.87,1056,46.81,-433.05,998.46
18,103550,1,1,6.51,1.85,1045,47.76,-443.97,997.14
19,103674,1,1,15.16,1.84,1039,56.92,-450.04,996.02
20,103822,1,1,19.5,1.84,1039,61.23,-450.09,995.83
21,103937,1,1,19.18,-2.46,1022,62.74,-467.48,998.03
22,104051,1,1,23.61,-2.47,1029,66.5,-460.6,998.7
23,104173,1,1,23.61,-2.47,1029,66.5,-460.6,998.7
24,104284,1,1,19.11,1.8,1018,62.8,-470.93,993.32
25,104396,1,1,19.31,-2.47,1029,62.22,-460.54,998.89
26,104502,1,1,19.39,1.83,1033,61.68,-456.05,995.11
27,104621,1,1,23.29,6.04,1015,67,-473.44,988.56
28,104733,1,1,23.32,6.04,1016,66.92,-472.45,988.68
29,104842,1,1,19.44,6.16,1036,61.21,-452.54,991.18
30,104947,1,1,23.52,6.1,1025,66.29,-463.51,989.71
31,105057,1,1,23.59,6.12,1028,66.08,-460.54,990.06
32,105174,1,1,23.68,6.14,1032,65.8,-456.56,990.52
33,105287,1,1,23.75,6.16,1035,65.59,-453.59,990.86
34,105408,1,1,23.59,1.82,1028,66.32,-461.06,994.32
35,105526,1,1,23.68,6.14,1032,65.8,-456.56,990.52
36,105637,1,1,23.73,6.15,1034,65.66,-454.58,990.75
37,105753,1,1,23.84,6.18,1039,65.3,-449.62,991.32
38,105865,1,1,24,6.22,1046,64.81,-442.67,992.13
39,105971,1,1,23.94,1.85,1043,65.27,-446.18,996.1
40,106083,1,1,23.64,6.13,1030,65.94,-458.55,990.29
41,106203,1,1,23.71,6.15,1033,65.73,-455.57,990.63
42,106327,1,1,23.66,1.83,1031,66.11,-458.09,994.67
43,106424,1,1,19.61,6.22,1045,60.54,-443.6,992.21
44,106523,1,1,19.65,1.86,1047,60.64,-442.15,996.78
45,106653,1,1,19.18,6.08,1022,62.25,-466.44,989.56
46,106767,1,1,19.22,1.82,1024,62.35,-464.98,994.04
47,106882,1,1,19.71,1.86,1050,60.42,-439.18,997.14
48,107005,1,1,23.84,1.84,1039,65.55,-450.15,995.63
49,107140,1,1,19.5,1.84,1039,61.23,-450.09,995.83
50,107249,1,1,19.26,1.82,1026,62.2,-462.99,994.27
51,107357,1,1,19.35,1.83,1031,61.83,-458.03,994.87
52,107467,1,1,19.39,1.83,1033,61.68,-456.05,995.11
53,107580,1,1,15.23,1.85,1044,56.52,-445.07,996.62
54,107701,1,1,15.24,1.85,1045,56.45,-444.08,996.74
55,107812,1,1,14.88,1.81,1020,58.41,-468.89,993.75
56,107935,1,1,15.14,1.84,1038,57,-451.03,995.9
57,108034,1,1,15.16,1.84,1039,56.92,-450.04,996.02
58,108133,1,1,15.22,1.85,1043,56.6,-446.07,996.5
59,108239,1,1,15.23,1.85,1044,56.52,-445.07,996.62
60,108355,1,1,14.97,1.82,1026,57.94,-462.94,994.47
61,108470,1,1,15.26,1.85,1046,56.37,-443.09,996.86
62,108578,1,1,15.27,1.86,1047,56.29,-442.1,996.98
63,108688,1,1,15.11,1.84,1036,57.15,-453.01,995.67
64,108803,1,1,15.11,1.84,1036,57.15,-453.01,995.67
65,108941,1,1,15.35,1.86,1052,55.9,-437.13,997.58
66,109064,1,1,15.33,1.86,1051,55.97,-438.13,997.46
67,109193,1,1,15.35,1.86,1052,55.9,-437.13,997.58
68,109319,1,1,15.19,1.85,1041,56.76,-448.05,996.26
69,109442,1,1,14.98,1.82,1027,57.86,-461.94,994.59
70,109565,1,1,15.13,1.84,1037,57.07,-452.02,995.79
71,109706,1,1,15.14,1.84,1038,57,-451.03,995.9
72,109860,1,1,15.22,1.85,1043,56.6,-446.07,996.5
73,109978,1,1,15.35,1.86,1052,55.9,-437.13,997.58
74,110091,1,1,15.35,1.86,1052,55.9,-437.13,997.58
75,110212,1,1,15.39,6.28,1055,55.41,-433.62,993.57
76,110318,1,1,15.35,1.86,1052,55.9,-437.13,997.58
77,110429,1,1,15.38,1.87,1054,55.74,-435.15,997.82
78,110542,1,1,15.22,1.85,1043,56.6,-446.07,996.5
79,110652,1,1,14.89,1.81,1021,58.33,-467.9,993.87
80,110761,1,1,14.92,1.81,1023,58.17,-465.91,994.11
81,110885,1,1,15.13,1.84,1037,57.07,-452.02,995.79
82,111001,1,1,15.07,1.83,1033,57.39,-455.99,995.31
83,111113,1,1,15.1,1.83,1035,57.23,-454,995.55
84,111237,1,1,15.16,1.84,1039,56.92,-450.04,996.02
85,111339,1,1,15.13,1.84,1037,57.07,-452.02,995.79
86,111451,1,1,15.14,1.84,1038,57,-451.03,995.9
87,111559,1,1,15.3,1.86,1049,56.13,-440.11,997.22
