frame,timestamp_ms,person_id,filter_enabled,cam_x,cam_y,cam_z,new_x,new_y,new_z
0,115331,1,1,-707.16,634.89,1700.00,,,
1,115455,1,1,-202.99,196.38,498.00,,,
2,115566,1,1,-240.83,104.27,562.00,,,
3,115690,1,1,-195.24,87.16,573.00,,,
4,115823,1,1,-112.08,55.32,483.00,,,
5,115956,1,1,-111.53,30.84,550.00,,,
6,116103,1,1,-115.07,48.76,545.00,,,
7,116223,1,1,-150.25,53.15,594.00,,,
8,116353,1,1,-182.38,59.59,666.00,,,
9,116478,1,1,-213.53,55.89,768.00,,,
10,116604,1,1,-222.52,59.79,777.00,,,
11,116718,1,1,-235.93,64.33,836.00,,,
12,116829,1,1,-245.37,83.91,896.00,,,
13,116938,1,1,-237.53,92.72,909.00,,,
14,117057,1,1,-264.54,108.26,981.00,,,
15,117177,1,1,-282.20,112.01,1015.00,,,
16,117295,1,1,-277.13,103.23,1012.00,,,
17,117424,1,1,-295.27,108.33,1062.00,,,
18,117537,1,1,-299.87,105.27,1032.00,,,
19,117652,1,1,-328.27,96.90,1083.00,,,
20,117756,1,1,-340.59,101.05,1079.00,,,
21,117861,1,1,-349.28,91.95,1078.00,,,
22,117962,1,1,-364.29,90.05,1110.00,,,
23,118072,1,1,-364.61,84.41,1097.00,,,
24,118213,1,1,-360.13,91.34,1126.00,,,
25,118355,1,1,-355.42,96.05,1126.00,,,
26,118505,1,1,-351.34,100.93,1128.00,,,
27,118647,1,1,-346.98,99.67,1114.00,,,
28,118805,1,1,-343.55,100.03,1118.00,,,
29,118956,1,1,-340.75,88.75,1094.00,,,
30,119106,1,1,-340.13,97.71,1092.00,,,
31,119235,1,1,-340.48,99.14,1108.00,,,
32,119419,1,1,-337.10,98.15,1097.00,,,
33,119558,1,1,-347.29,104.42,1115.00,,,
34,119673,1,1,-347.53,107.71,1101.00,,,
35,119839,1,1,-353.82,106.83,1092.00,,,
36,119980,1,1,-371.59,109.37,1118.00,,,
37,120126,1,1,-381.62,114.24,1120.00,,,
38,120245,1,1,-379.23,104.23,1113.00,,,
39,120391,1,1,-370.72,101.89,1088.00,,,
40,120538,1,1,-366.84,102.08,1090.00,,,
41,120679,1,1,-375.25,109.08,1115.00,,,
42,120847,1,1,-367.27,108.10,1105.00,,,
43,120992,1,1,-359.70,107.22,1096.00,,,
44,121133,1,1,-361.27,109.08,1115.00,,,
45,121259,1,1,-366.59,109.27,1117.00,,,
46,121382,1,1,-369.21,110.06,1125.00,,,
47,121502,1,1,-364.51,110.06,1125.00,,,
48,121631,1,1,-364.19,109.96,1124.00,,,
49,121773,1,1,-366.13,115.26,1130.00,,,
50,121904,1,1,-357.89,104.80,1119.00,,,
51,122045,1,1,-356.05,105.64,1128.00,,,
52,122170,1,1,-356.68,110.54,1130.00,,,
53,122304,1,1,-352.90,104.70,1118.00,,,
54,122423,1,1,-355.42,105.45,1126.00,,,
55,122541,1,1,-360.47,106.95,1142.00,,,
56,122719,1,1,-362.05,107.42,1147.00,,,
57,122845,1,1,-366.21,107.23,1145.00,,,
58,122978,1,1,-360.13,105.45,1126.00,,,
59,123110,1,1,-359.17,105.17,1123.00,,,
60,123233,1,1,-351.81,107.61,1100.00,,,
61,123376,1,1,-352.77,103.30,1103.00,,,
62,123539,1,1,-355.65,104.14,1112.00,,,
63,123677,1,1,-364.84,110.15,1126.00,,,
64,123803,1,1,-362.89,109.57,1120.00,,,
65,123950,1,1,-355.44,107.32,1097.00,,,
66,124069,1,1,-363.96,108.49,1109.00,,,
67,124207,1,1,-366.94,108.00,1104.00,,,
68,124358,1,1,-368.33,105.75,1081.00,,,
69,124465,1,1,-374.82,108.23,1061.00,,,
70,124593,1,1,-356.21,84.02,985.00,,,
71,124727,1,1,-370.36,85.38,1001.00,,,
72,124873,1,1,-369.84,94.68,1011.00,,,
73,125023,1,1,-341.37,121.34,955.00,,,
74,125137,1,1,-277.70,89.94,815.00,,,
75,125273,1,1,-219.59,75.99,745.00,,,
76,125411,1,1,-215.61,93.88,764.00,,,
77,125540,1,1,-192.51,79.14,644.00,,,
78,125678,1,1,-165.91,68.20,555.00,,,
79,125807,1,1,-188.80,90.50,499.00,,,
80,125932,1,1,-266.90,83.36,548.00,,,
