frame,timestamp_ms,person_id,cam_x,cam_y,cam_z,new_x,new_y,new_z
0,99758,1,760.00,1310.81,4638.00,,,
1,99778,1,760.00,1310.81,4638.00,,,
2,99797,1,752.95,1317.22,4595.00,,,
3,99816,1,746.07,1286.79,4553.00,,,
4,99837,1,752.95,1317.22,4595.00,,,
5,99859,1,734.43,1317.22,4595.00,,,
6,99879,1,767.05,1322.97,4681.00,,,
7,99897,1,767.05,1322.97,4681.00,,,
8,99916,1,746.07,1305.18,4553.00,,,
9,99934,1,746.07,1305.18,4553.00,,,
10,99959,1,714.45,1281.39,4470.00,,,
11,99978,1,732.47,1263.33,4470.00,,,
12,99996,1,721.01,1274.92,4511.00,,,
13,100015,1,732.47,1263.33,4470.00,,,
14,100034,1,752.95,1317.22,4595.00,,,
15,100057,1,732.47,1263.33,4470.00,,,
16,100077,1,760.00,1310.81,4638.00,,,
17,100098,1,760.00,1310.81,4638.00,,,
18,100119,1,760.00,1310.81,4638.00,,,
19,100139,1,760.00,1310.81,4638.00,,,
20,100157,1,739.19,1293.14,4511.00,,,
21,100178,1,752.95,1298.66,4595.00,,,
22,100196,1,752.95,1298.66,4595.00,,,
23,100214,1,752.95,1298.66,4595.00,,,
24,100241,1,746.07,1286.79,4553.00,,,
25,100254,1,746.07,1286.79,4553.00,,,
26,100278,1,746.07,1286.79,4553.00,,,
27,100296,1,746.07,1286.79,4553.00,,,
28,100315,1,746.07,1286.79,4553.00,,,
29,100339,1,739.19,1293.14,4511.00,,,
30,100356,1,739.19,1293.14,4511.00,,,
31,100374,1,732.47,1263.33,4470.00,,,
32,100393,1,732.47,1263.33,4470.00,,,
33,100416,1,732.47,1263.33,4470.00,,,
34,100439,1,801.08,1436.76,5012.00,,,
35,100457,1,813.09,1402.39,4962.00,,,
36,100475,1,813.09,1402.39,4962.00,,,
37,100494,1,813.09,1402.39,4962.00,,,
38,100512,1,760.00,1310.81,4638.00,,,
39,100537,1,760.00,1310.81,4638.00,,,
40,100558,1,757.37,1274.92,4511.00,,,
41,100578,1,762.56,1367.68,4771.00,,,
42,100596,1,760.00,1310.81,4638.00,,,
43,100615,1,746.07,1305.18,4553.00,,,
44,100635,1,746.07,1286.79,4553.00,,,
45,100653,1,746.07,1305.18,4553.00,,,
46,100673,1,746.07,1286.79,4553.00,,,
47,100696,1,746.07,1305.18,4553.00,,,
48,100715,1,746.07,1286.79,4553.00,,,
49,100732,1,746.07,1286.79,4553.00,,,
