frame,timestamp_ms,person_id,filter_enabled,cam_x,cam_y,cam_z,new_x,new_y,new_z
17,85247,1,0,121,28.25,1053,159.32,-434.27,966.71
18,85352,1,0,107.08,28.06,1046,146.14,-441.06,966.67
19,85443,1,0,97.77,19.22,1040,137.95,-447.98,975.14
20,85535,1,0,97.77,14.87,1040,138.2,-448.51,979.45
21,85642,1,0,91.09,14.5,1014,133.99,-474.27,976.95
22,85750,1,0,82.61,14.5,1014,125.57,-474.16,977.34
23,85864,1,0,82.94,10.31,1018,125.76,-470.71,981.97
24,85970,1,0,82.94,10.31,1018,125.76,-470.71,981.97
25,86082,1,0,80.38,10.53,1040,121.16,-448.82,984.55
26,86180,1,0,79.69,14.74,1031,121.07,-457.23,979.3
27,86291,1,0,79.84,10.46,1033,121.28,-455.77,983.79
28,86396,1,0,79.84,10.46,1033,121.28,-455.77,983.79
29,86504,1,0,81.23,15.03,1051,120.73,-437.36,981.39
30,86613,1,0,81.23,10.64,1051,120.98,-437.9,985.74
31,86738,1,0,81.23,10.64,1051,120.98,-437.9,985.74
32,86854,1,0,81.62,15.1,1056,120.64,-432.4,981.91
33,86956,1,0,81.62,10.69,1056,120.89,-432.94,986.28
34,87073,1,0,81.08,15,1049,120.76,-439.35,981.18
35,87170,1,0,81.08,10.62,1049,121.01,-439.89,985.52
36,87269,1,0,81.62,10.69,1056,120.89,-432.94,986.28
37,87368,1,0,81.08,10.62,1049,121.01,-439.89,985.52
38,87474,1,0,85.46,10.62,1049,125.37,-439.94,985.32
39,87581,1,0,84.89,10.55,1042,125.46,-446.89,984.57
40,87699,1,0,80.85,14.96,1046,120.81,-442.33,980.87
41,87799,1,0,86.03,15.1,1056,125.03,-432.46,981.71
42,87902,1,0,85.46,10.62,1049,125.37,-439.94,985.32
43,88006,1,0,85.46,10.62,1049,125.37,-439.94,985.32
44,88125,1,0,87.09,10.82,1069,125.12,-420.09,987.49
45,88250,1,0,85.63,10.64,1051,125.35,-437.96,985.54
46,88373,1,0,85.63,10.64,1051,125.35,-437.96,985.54
